epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.76868,1.20437,1.0608,1.3688,0.95568,0.80435,0.92252,0.54267,1.57741,1.05215,1.54684,0.0003,0.0003,0.0003
2,17.2114,1.21032,1.03193,1.35048,0.97688,0.97826,0.98347,0.5432,1.6194,0.84157,1.67286,0.000616565,0.000616565,0.000616565
3,24.8189,1.29637,1.0122,1.41115,0.97179,0.93478,0.9718,0.46424,1.76558,1.59115,1.61678,0.000919297,0.000919297,0.000919297
4,32.1031,1.33421,1.19198,1.47701,0.9343,0.9276,0.96735,0.51954,1.62791,1.0036,1.63987,0.0011982,0.0011982,0.0011982
5,39.391,1.34239,1.27005,1.49033,0.87248,0.71739,0.75581,0.3683,2.00169,2.39602,1.90123,0.00144421,0.00144421,0.00144421
6,46.4692,1.41307,1.26857,1.54126,0.88884,0.80435,0.8712,0.49875,1.88205,1.21594,1.748,0.00164958,0.00164958,0.00164958
7,53.5883,1.34282,1.12188,1.46747,0.26237,0.15217,0.10062,0.04386,2.66171,3.3496,2.44376,0.00162901,0.00162901,0.00162901
8,60.5275,1.39502,1.13604,1.47023,0.8975,0.95182,0.9739,0.55097,1.61752,1.55422,1.59452,0.00150859,0.00150859,0.00150859
9,67.5292,1.36507,1.11749,1.48689,0.78141,0.93478,0.88418,0.478,1.70565,3.08946,1.70358,0.00137812,0.00137812,0.00137812
10,74.6019,1.30811,1.04985,1.44548,0.8692,0.28261,0.3186,0.12637,2.52808,4.51587,3.06505,0.00124079,0.00124079,0.00124079
11,81.6297,1.21509,0.98747,1.38674,0.91112,0.89141,0.95745,0.50707,1.77335,1.09696,1.75149,0.0011,0.0011,0.0011
12,88.6344,1.20831,1.10034,1.34582,0.92442,0.95652,0.98476,0.58341,1.47719,1.011,1.63364,0.000959209,0.000959209,0.000959209
13,95.6955,1.17268,1.02541,1.36619,0.95258,0.95652,0.98903,0.58874,1.45359,0.94495,1.56701,0.000821885,0.000821885,0.000821885
14,102.918,1.2289,1.02702,1.36424,0.98194,0.91304,0.98883,0.59277,1.47331,0.75659,1.53785,0.000691409,0.000691409,0.000691409
15,110.055,1.19169,0.98262,1.37023,0.93615,0.95626,0.9798,0.57753,1.50435,0.79097,1.54814,0.000570993,0.000570993,0.000570993
16,116.636,1.04351,0.89089,1.2801,0.9582,0.99667,0.99004,0.54479,1.60384,0.68597,1.62287,0.000463604,0.000463604,0.000463604
17,123.113,1.07821,0.83324,1.32279,0.95819,0.99647,0.98808,0.57908,1.5516,0.66654,1.63797,0.000371885,0.000371885,0.000371885
18,129.655,1.05457,0.76096,1.26415,0.95566,0.97826,0.98606,0.57059,1.52097,0.69439,1.65161,0.000298094,0.000298094,0.000298094
19,136.216,0.94554,0.7266,1.22407,0.93727,0.97457,0.98414,0.55628,1.52714,0.76718,1.62665,0.000244049,0.000244049,0.000244049
20,143.055,0.9799,0.71455,1.273,0.91591,0.97826,0.98545,0.57057,1.52573,0.74465,1.60751,0.00021108,0.00021108,0.00021108
