epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.59713,1.58297,4.23992,1.72557,0.47879,0.47826,0.51059,0.24817,2.08639,11.1009,2.17918,0.0003,0.0003,0.0003
2,17.3565,1.70154,2.44468,1.77693,0.91023,0.69565,0.78849,0.37528,1.92406,11.8581,2.16482,0.000619092,0.000619092,0.000619092
3,24.6335,1.66029,1.98962,1.6921,0.36012,0.8913,0.73994,0.31292,1.74382,43.7734,2.54088,0.000934503,0.000934503,0.000934503
4,31.7454,1.69434,1.89231,1.72352,0.18208,0.45652,0.15872,0.06392,2.15698,38.3758,3.7787,0.00124346,0.00124346,0.00124346
5,38.8367,1.71885,1.80963,1.73399,0.02887,0.1087,0.0104,0.00115,3.9492,182.237,6.48135,0.00154327,0.00154327,0.00154327
6,45.9566,1.73699,1.72235,1.73313,0,0,0,0,4.74036,445.023,11.2612,0.0018313,0.0018313,0.0018313
7,53.1266,1.80849,1.74398,1.84468,0.00147,0.02174,0.0001,2e-05,4.65557,17.5054,8.16946,0.00189646,0.00189646,0.00189646
8,59.9495,1.64507,1.60338,1.73996,0.0173,0.08696,0.00511,0.00121,3.54976,31.0713,4.4954,0.00186001,0.00186001,0.00186001
9,66.9567,1.66108,1.51957,1.70483,0.00526,0.02174,0.00027,3e-05,3.68789,26.6092,3.96086,0.00181857,0.00181857,0.00181857
10,74.5575,1.58316,1.34551,1.63478,0,0,0,0,nan,nan,nan,0.00177239,0.00177239,0.00177239
11,82.0156,1.70069,1.56105,1.71242,0.02268,0.04348,0.00314,0.0013,3.12032,30.7198,2.80506,0.00172175,0.00172175,0.00172175
12,89.1661,1.59512,1.33458,1.66125,0.56087,0.8913,0.8979,0.51289,1.62298,13.1064,1.74317,0.00166698,0.00166698,0.00166698
13,96.4451,1.57531,1.43608,1.60728,0.67517,0.67391,0.73721,0.40758,1.62265,7.07887,1.73444,0.0016084,0.0016084,0.0016084
14,103.652,1.63767,1.43041,1.65641,0.03882,0.71739,0.03069,0.01491,2.45773,76.336,3.20587,0.00154637,0.00154637,0.00154637
15,111.279,1.58359,1.39075,1.60247,0,0,0,0,nan,nan,nan,0.00148129,0.00148129,0.00148129
16,118.888,1.49615,1.25883,1.5567,0.51704,0.78261,0.6954,0.33951,1.61295,3.8834,1.77891,0.00141355,0.00141355,0.00141355
17,126.408,1.41396,1.22725,1.52173,0.61657,0.91304,0.63495,0.32844,1.73429,2.75833,1.77022,0.00134357,0.00134357,0.00134357
18,133.479,1.51258,1.24931,1.57696,0.90157,0.86957,0.90816,0.46365,1.91883,2.07135,1.85773,0.00127177,0.00127177,0.00127177
19,140.867,1.43367,1.20995,1.51237,0.87546,0.76415,0.88181,0.4808,1.70509,2.26843,1.74046,0.00119861,0.00119861,0.00119861
20,148.69,1.37953,1.12385,1.45135,1,0.99306,0.995,0.50319,1.67392,1.98336,1.89104,0.00112454,0.00112454,0.00112454
21,156.168,1.38631,1.19184,1.46486,0.97642,0.97826,0.99417,0.56851,1.5684,1.2582,1.78645,0.00105,0.00105,0.00105
22,163.403,1.40593,1.17282,1.47584,0.90422,0.91304,0.97743,0.5446,1.54412,1.16248,1.68063,0.000975464,0.000975464,0.000975464
23,170.849,1.43137,1.18439,1.49804,0.97818,0.9746,0.98786,0.54705,1.5738,1.26572,1.75484,0.000901387,0.000901387,0.000901387
24,178.078,1.43449,1.14199,1.55351,0.97494,0.97826,0.99253,0.57049,1.56578,1.01826,1.69078,0.000828227,0.000828227,0.000828227
25,187.136,1.31426,1.0968,1.41647,0.9781,0.97107,0.97474,0.57308,1.63087,1.05618,1.80824,0.000756434,0.000756434,0.000756434
26,194.69,1.31544,1.05715,1.44245,0.97206,0.97826,0.97433,0.55029,1.53985,1.02175,1.66511,0.000686451,0.000686451,0.000686451
27,202.048,1.23041,1.03664,1.37881,0.97678,0.91451,0.98751,0.5348,1.59856,0.89854,1.70624,0.000618709,0.000618709,0.000618709
28,209.321,1.22504,1.01785,1.35809,0.97776,0.95576,0.991,0.5446,1.63161,0.82563,1.7146,0.000553626,0.000553626,0.000553626
29,216.333,1.23306,1.00536,1.39415,0.95783,0.98773,0.99133,0.56241,1.54595,0.78062,1.66042,0.000491604,0.000491604,0.000491604
30,223.362,1.21275,0.96403,1.37471,0.9963,0.97826,0.99457,0.56601,1.55422,0.70088,1.63268,0.000433024,0.000433024,0.000433024
31,229.747,1.13323,0.91528,1.35149,0.99784,0.97826,0.99457,0.57005,1.5502,0.69832,1.62493,0.000378249,0.000378249,0.000378249
32,235.887,1.13215,0.86047,1.38659,1,0.97369,0.99417,0.56806,1.5801,0.73998,1.64228,0.000327614,0.000327614,0.000327614
33,242.302,1.08975,0.80371,1.28411,0.99857,0.97826,0.99457,0.57116,1.60085,0.74493,1.6717,0.000281434,0.000281434,0.000281434
34,249.218,1.0348,0.78595,1.27842,0.95322,0.97826,0.99207,0.58112,1.62943,0.74134,1.66378,0.000239992,0.000239992,0.000239992
35,255.436,1.00822,0.77331,1.27343,1,0.97176,0.99236,0.60124,1.53605,0.72436,1.5885,0.000203544,0.000203544,0.000203544
36,261.888,0.97265,0.74027,1.23182,0.95719,0.97212,0.98666,0.59941,1.53224,0.70438,1.59932,0.000172314,0.000172314,0.000172314
37,268.56,1.03032,0.7517,1.28864,0.97818,0.97448,0.98934,0.57376,1.54005,0.70726,1.63329,0.000146496,0.000146496,0.000146496
38,275.263,0.95331,0.71989,1.21797,0.97461,0.97826,0.98999,0.57293,1.54615,0.70338,1.63159,0.000126249,0.000126249,0.000126249
39,281.99,0.95821,0.70111,1.23961,0.96684,0.97826,0.9891,0.58985,1.54894,0.69869,1.6251,0.000111696,0.000111696,0.000111696
40,288.813,0.94891,0.74074,1.25902,0.97065,0.97826,0.98646,0.59166,1.55735,0.73349,1.62589,0.000102929,0.000102929,0.000102929
