epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.9797,1.33933,0.94278,1.42744,0.90899,0.84536,0.84475,0.39239,1.34513,0.80738,1.19133,0.0669494,6.62338e-05,6.62338e-05
2,39.7053,1.27641,0.92502,1.34944,0.87903,0.86598,0.84564,0.44598,1.2021,0.99342,1.11412,0.0336819,0.000132164,0.000132164
3,59.1383,1.26442,0.92216,1.36158,0.91495,0.85567,0.86006,0.44548,1.24456,0.86491,1.12919,0.000411622,0.000195172,0.000195172
4,78.7197,1.22224,0.82544,1.31608,0.90238,0.84536,0.87858,0.47318,1.17583,1.03565,1.09674,0.000190191,0.000190191,0.000190191
5,97.6019,1.18777,0.84269,1.3212,0.89327,0.85567,0.86601,0.46568,1.15188,0.84113,1.09413,0.000182812,0.000182812,0.000182812
6,116.403,1.16958,0.82464,1.30796,0.9207,0.83786,0.88434,0.48235,1.16004,0.82613,1.08558,0.00017364,0.00017364,0.00017364
7,134.823,1.16272,0.84118,1.27609,0.92969,0.85567,0.89257,0.49013,1.1665,0.88413,1.10314,0.000162901,0.000162901,0.000162901
8,153.267,1.16036,0.80025,1.30246,0.91118,0.84607,0.88354,0.50327,1.13027,0.9259,1.09151,0.000150859,0.000150859,0.000150859
9,171.86,1.13993,0.78068,1.29679,0.89759,0.84536,0.86473,0.46444,1.21014,0.9979,1.13344,0.000137812,0.000137812,0.000137812
10,190.174,1.15547,0.7811,1.29307,0.92893,0.80857,0.86492,0.47689,1.16524,0.94742,1.10835,0.000124079,0.000124079,0.000124079
11,209.267,1.11352,0.75757,1.27498,0.89883,0.82432,0.85555,0.47726,1.15982,0.9886,1.10352,0.00011,0.00011,0.00011
12,228.807,1.14822,0.81042,1.28065,0.90839,0.83505,0.85454,0.45487,1.21497,1.0359,1.13074,9.59209e-05,9.59209e-05,9.59209e-05
13,246.949,1.13237,0.75443,1.2597,0.89198,0.8513,0.85622,0.45745,1.21477,0.96679,1.13406,8.21885e-05,8.21885e-05,8.21885e-05
14,265.584,1.12066,0.75996,1.27229,0.92882,0.80412,0.85987,0.47571,1.16382,0.96684,1.11662,6.91409e-05,6.91409e-05,6.91409e-05
15,284.102,1.10207,0.77051,1.2552,0.86744,0.87697,0.86365,0.46079,1.18539,0.97017,1.11828,5.70993e-05,5.70993e-05,5.70993e-05
16,301.872,1.01454,0.6349,1.17834,0.85985,0.88553,0.86614,0.47095,1.19679,0.94736,1.11955,4.63604e-05,4.63604e-05,4.63604e-05
