epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.74148,1.53346,6.99406,1.7035,0.95982,0.86111,0.96145,0.51602,1.56369,7.67095,1.5604,0.00042,0.00042,0.00042
2,16.5609,1.69425,3.65259,1.78214,0.0021,0.80556,0.01232,0.00427,2.44748,5.44871,2.25038,0.000842972,0.000842972,0.000842972
3,23.5737,1.57324,2.55641,1.7376,0.42604,0.51562,0.30906,0.1488,2.47059,5.49268,2.68034,0.00124852,0.00124852,0.00124852
4,30.1797,1.7382,2.34187,1.8645,0,0,0,0,6.02035,17.5554,7.15334,0.00163664,0.00163664,0.00163664
5,36.9918,1.78007,2.20565,1.81231,0,0,0,0,5.17715,997.018,67.3991,0.0018416,0.0018416,0.0018416
6,43.6051,1.84275,2.12046,1.95022,0.00497,0.11111,0.00352,0.00083,3.11056,33.5541,4.64245,0.001802,0.001802,0.001802
7,50.3594,1.74256,1.92033,1.87725,0.57345,0.52778,0.46071,0.18047,2.4484,6.46511,2.76334,0.0017624,0.0017624,0.0017624
8,56.7183,1.68866,1.71103,1.78526,0.0608,0.61111,0.05049,0.01135,3.13427,17.0843,3.87371,0.0017228,0.0017228,0.0017228
9,62.9537,1.62823,1.52377,1.74927,0.00945,0.47222,0.00844,0.00202,3.04237,78.9185,3.22728,0.0016832,0.0016832,0.0016832
10,69.1742,1.6276,1.53797,1.72797,0.08819,0.05556,0.04407,0.00871,3.35731,12.0901,3.44912,0.0016436,0.0016436,0.0016436
11,75.0918,1.62024,1.52983,1.72357,0.71121,0.16667,0.17776,0.04909,3.77106,10.0176,5.54617,0.001604,0.001604,0.001604
12,80.8451,1.55266,1.57811,1.70201,0.07492,0.19444,0.0563,0.01704,2.61931,35.1665,3.1546,0.0015644,0.0015644,0.0015644
13,86.9192,1.48946,1.34469,1.60051,0.78894,0.2084,0.23233,0.04567,2.7397,12.9877,3.10023,0.0015248,0.0015248,0.0015248
14,92.566,1.55863,1.38866,1.66816,0.01411,0.02778,0.00349,0.0006,3.52263,6.30352,3.72696,0.0014852,0.0014852,0.0014852
15,98.409,1.49044,1.30411,1.58358,0.00031,0.02778,0.00017,3e-05,3.35532,5.0187,3.29021,0.0014456,0.0014456,0.0014456
16,104.519,1.43984,1.19171,1.61567,0,0,0,0,3.35993,5.16209,3.4719,0.001406,0.001406,0.001406
